id,news_website_homepage,extracted_keywords,internal_urls,manual_topic_label
24,https://www.thehindu.com/,"food, life-and-style, life-and-styles",https://www.thehindu.com/life-and-style/food/,Health and Lifestyle
24,https://www.thehindu.com/,fitness,https://www.thehindu.com/life-and-style/fitness/,Health and Lifestyle
25,https://www.anandabazar.com/,"healthy-living, healthy",https://www.anandabazar.com/lifestyle/healthy-living,Health and Lifestyle
25,https://www.anandabazar.com/,"recipe, recipes",https://www.anandabazar.com/recipes,Health and Lifestyle
25,https://www.anandabazar.com/,"healthy-living, healthy, healthy-living-tips",https://www.anandabazar.com/topic/healthy-living-tips,Health and Lifestyle
24,https://www.thehindu.com/,"latest, latest-news",https://www.thehindu.com/latest-news/,Other
24,https://www.thehindu.com/,specials,https://www.thehindu.com/specials/,Other
24,https://www.thehindu.com/,todays-paper,https://www.thehindu.com/todays-paper/,Other
24,https://www.thehindu.com/,news,https://www.thehindu.com/news/,Other
25,https://www.anandabazar.com/,newsletters,https://www.anandabazar.com/newsletters/,Other
24,https://www.thehindu.com/,"life, style, life-and-style",https://www.thehindu.com/life-and-style/,Health and Lifestyle
24,https://www.thehindu.com/,social,https://www.thehindu.com/social/,"Art, Culture and Society"
24,https://www.thehindu.com/,fashion,https://www.thehindu.com/life-and-style/fashion/,Health and Lifestyle
24,https://www.thehindu.com/,"life, style, life-and-style",https://www.thehindu.com/life-and-style/motoring/,Health and Lifestyle
24,https://www.thehindu.com/,travel,https://www.thehindu.com/life-and-style/travel/,Health and Lifestyle
24,https://www.thehindu.com/,"home, homes, garden, gardens, homes-and-gardens",https://www.thehindu.com/life-and-style/homes-and-gardens/,Health and Lifestyle
24,https://www.thehindu.com/,luxury,https://www.thehindu.com/life-and-style/luxury/,Health and Lifestyle
24,https://www.thehindu.com/,wellbeing,https://www.thehindu.com/topic/wellbeing/,Health and Lifestyle
24,https://www.thehindu.com/,society,https://www.thehindu.com/society/,"Art, Culture and Society"
24,https://www.thehindu.com/,society,https://www.thehindu.com/society/faith/,"Art, Culture and Society"
24,https://www.thehindu.com/,"history-and-culture, history, india-history, indian-history, india-culture, indian-culture",https://www.thehindu.com/society/history-and-culture/,"Art, Culture and Society"
24,https://www.thehindu.com/,children,https://www.thehindu.com/children/,Health and Lifestyle
24,https://www.thehindu.com/,lit-for-life,https://www.thehindu.com/lit-for-life/,Health and Lifestyle
25,https://www.anandabazar.com/,lifestyle,https://www.anandabazar.com/lifestyle,Health and Lifestyle
25,https://www.anandabazar.com/,travel,https://www.anandabazar.com/travel,Health and Lifestyle
24,https://www.thehindu.com/,multimedia,https://www.thehindu.com/multimedia/,Multimedia
24,https://www.thehindu.com/,"photo, photos",https://www.thehindu.com/photos/,Multimedia
24,https://www.thehindu.com/,"video, videos",https://www.thehindu.com/videos/,Multimedia
25,https://www.anandabazar.com/,photogallery,https://www.anandabazar.com/photogallery,Multimedia
24,https://www.thehindu.com/,national,https://www.thehindu.com/news/national/,National
25,https://www.anandabazar.com/,national,https://www.anandabazar.com/national,National
25,https://www.anandabazar.com/,india,https://www.anandabazar.com/topic/india,National
25,https://www.anandabazar.com/,"narendra-modi, modi",https://www.anandabazar.com/topic/narendra-modi,Politics
24,https://www.thehindu.com/,opinion,https://www.thehindu.com/opinion/,Other
24,https://www.thehindu.com/,opinion,https://www.thehindu.com/opinion/cartoon/,Other
24,https://www.thehindu.com/,"opinion, columns",https://www.thehindu.com/opinion/columns/,Other
24,https://www.thehindu.com/,"opinion, editorial",https://www.thehindu.com/opinion/editorial/,Other
24,https://www.thehindu.com/,"opinion, interview",https://www.thehindu.com/opinion/interview/,Other
24,https://www.thehindu.com/,opinion,https://www.thehindu.com/opinion/lead/,Other
24,https://www.thehindu.com/,"opinion, readers-editor",https://www.thehindu.com/opinion/Readers-Editor/,Other
24,https://www.thehindu.com/,opinion,https://www.thehindu.com/opinion/op-ed/,Other
24,https://www.thehindu.com/,opinion,https://www.thehindu.com/opinion/open-page/,Other
24,https://www.thehindu.com/,"opinion, letters",https://www.thehindu.com/opinion/letters/,Other
24,https://www.thehindu.com/,"subscription, newsletter, newsletter-subscription",https://www.thehindu.com/newsletter-subscription/,Other
24,https://www.thehindu.com/,"dashboard, my-dashboard",https://www.thehindu.com/my-dashboard/,Other
24,https://www.thehindu.com/,static,https://www.thehindu.com/static/content/edm/covid19-ebook-1/index.html,Other
24,https://www.thehindu.com/,thread,https://www.thehindu.com/thread/,Other
24,https://www.thehindu.com/,"profile, author",https://www.thehindu.com/profile/author/Mohammad-Iqbal-21777/,Other
24,https://www.thehindu.com/,thanksletter,https://www.thehindu.com/static/content/edm/thanksletter/index.html,Other
24,https://www.thehindu.com/,resources,https://www.thehindu.com/news/resources/,Other
24,https://www.thehindu.com/,"archive, archives",https://www.thehindu.com/topic/From_the_Archives-1/,Other
24,https://www.thehindu.com/,podcast,https://www.thehindu.com/podcast/,Multimedia
24,https://www.thehindu.com/,data,https://www.thehindu.com/data/,Other
24,https://www.thehindu.com/,other,https://www.thehindu.com/Tags/,Other
24,https://www.thehindu.com/,"keepthehabit, habit",https://www.thehindu.com/marketinghub/keepthehabit/,Other
24,https://www.thehindu.com/,archive,https://www.thehindu.com/archive/,Other
24,https://www.thehindu.com/,aboutus,https://www.thehindu.com/aboutus/,Other
24,https://www.thehindu.com/,explains,https://www.thehindu.com/topic/The_Hindu_Explains/,Other
24,https://www.thehindu.com/,metro_plus,https://www.thehindu.com/topic/The_Hindu_Metro_Plus/,Other
24,https://www.thehindu.com/,contactus,https://www.thehindu.com/contacts/,Other
24,https://www.thehindu.com/,rssfeed,https://www.thehindu.com/rssfeeds/,Other
24,https://www.thehindu.com/,"publication, publications",https://www.thehindu.com/publications/,Other
25,https://www.anandabazar.com/,editorial,https://www.anandabazar.com/editorial,Other
25,https://www.anandabazar.com/,"letters-to-the-editor, editor",https://www.anandabazar.com/editorial/letters-to-the-editor,Other
25,https://www.anandabazar.com/,"supplementary, supplement",https://www.anandabazar.com/supplementary/rabibashoriyo,Other
25,https://www.anandabazar.com/,supplementary,https://www.anandabazar.com/supplementary/patrika,Other
25,https://www.anandabazar.com/,supplementary,https://www.anandabazar.com/supplementary/kolkatakorcha,Other
25,https://www.anandabazar.com/,supplementary,https://www.anandabazar.com/supplementary/pustokporichoi,Other
25,https://www.anandabazar.com/,"event, events",https://www.anandabazar.com/events/jamai-sasthi,Other
25,https://www.anandabazar.com/,other,https://www.anandabazar.com/topic/mamata-banerjee,Other
25,https://www.anandabazar.com/,others,https://www.anandabazar.com/others/weather,Other
25,https://www.anandabazar.com/,other,https://www.anandabazar.com/others/dinponji,Other
25,https://www.anandabazar.com/,other,https://www.anandabazar.com/others/crossword,Other
25,https://www.anandabazar.com/,aboutus,https://www.anandabazar.com/aboutus,Other
25,https://www.anandabazar.com/,advertise,https://www.anandabazar.com/advertise,Other
25,https://www.anandabazar.com/,contactus,https://www.anandabazar.com/contactus,Other
25,https://www.anandabazar.com/,"community-guideline, guideline, community-guidelines, guidelines",https://www.anandabazar.com/community-guidelines,Other
24,https://www.thehindu.com/,"election, elections",https://www.thehindu.com/elections/,Politics
24,https://www.thehindu.com/,delhi-assembly,https://www.thehindu.com/elections/delhi-assembly/,Politics
24,https://www.thehindu.com/,election,https://www.thehindu.com/elections/jharkhand/,Politics
24,https://www.thehindu.com/,"election, election-results, election-result",https://www.thehindu.com/elections/results/,Politics
24,https://www.thehindu.com/,"privacy, privacypolicy",https://www.thehindu.com/privacypolicy/,Privacy Policy
24,https://www.thehindu.com/,termsofuse,https://www.thehindu.com/termsofuse/,Privacy Policy
25,https://www.anandabazar.com/,privacy,https://www.anandabazar.com/privacy,Privacy Policy
25,https://www.anandabazar.com/,termsofuse,https://www.anandabazar.com/termsofuse,Privacy Policy
24,https://www.thehindu.com/,"delhi, delhi-news",https://www.thehindu.com/news/cities/Delhi/,Regional
25,https://www.anandabazar.com/,darshan,https://www.anandabazar.com/darshan/,"Art, Culture and Society"
25,https://www.anandabazar.com/,auspicious,https://www.anandabazar.com/auspicious-days,"Art, Culture and Society"
24,https://www.thehindu.com/,sci-tech,https://www.thehindu.com/sci-tech/,Science and Technology
24,https://www.thehindu.com/,"sci-tech, science",https://www.thehindu.com/sci-tech/science/,Science and Technology
24,https://www.thehindu.com/,technology,https://www.thehindu.com/sci-tech/technology/,Science and Technology
24,https://www.thehindu.com/,gadget,https://www.thehindu.com/sci-tech/technology/gadgets/,Science and Technology
24,https://www.thehindu.com/,internet,https://www.thehindu.com/sci-tech/technology/internet/,Science and Technology
24,https://www.thehindu.com/,"energy, environment, energy-and-environment",https://www.thehindu.com/sci-tech/energy-and-environment/,Science and Technology
25,https://www.anandabazar.com/,science,https://www.anandabazar.com/others/science,Science and Technology
24,https://www.thehindu.com/,sitemap,https://www.thehindu.com/sitemap/,Other
25,https://www.anandabazar.com/,sitemap,https://www.anandabazar.com/sitemap,Other
24,https://www.thehindu.com/,sport,https://www.thehindu.com/sport/,Sports
24,https://www.thehindu.com/,cricket,https://www.thehindu.com/sport/cricket/,Sports
24,https://www.thehindu.com/,football,https://www.thehindu.com/sport/football/,Sports
24,https://www.thehindu.com/,hockey,https://www.thehindu.com/sport/hockey/,Sports
24,https://www.thehindu.com/,tennis,https://www.thehindu.com/sport/tennis/,Sports
24,https://www.thehindu.com/,athletics,https://www.thehindu.com/sport/athletics/,Sports
24,https://www.thehindu.com/,"motorsport, motorsports, motor-sport, motor-sports",https://www.thehindu.com/sport/motorsport/,Sports
24,https://www.thehindu.com/,"race, races",https://www.thehindu.com/sport/races/,Sports
24,https://www.thehindu.com/,"other-sport, other-sports",https://www.thehindu.com/sport/other-sports/,Sports
25,https://www.anandabazar.com/,sport,https://www.anandabazar.com/sport,Sports
24,https://www.thehindu.com/,states,https://www.thehindu.com/news/states/,Regional
24,https://www.thehindu.com/,cities,https://www.thehindu.com/news/cities/,Local
24,https://www.thehindu.com/,other-states,https://www.thehindu.com/news/national/other-states/,Regional
24,https://www.thehindu.com/,"cities, chennai",https://www.thehindu.com/news/cities/chennai/,Local
24,https://www.thehindu.com/,hyderabad,https://www.thehindu.com/news/cities/Hyderabad/,Local
24,https://www.thehindu.com/,bangalore,https://www.thehindu.com/news/cities/bangalore/,Local
24,https://www.thehindu.com/,andhra-pradesh,https://www.thehindu.com/news/national/andhra-pradesh/,Regional
24,https://www.thehindu.com/,karnataka,https://www.thehindu.com/news/national/karnataka/,Regional
24,https://www.thehindu.com/,kerala,https://www.thehindu.com/news/national/kerala/,Regional
